X,Y,ContainmentDateTime,ControlDateTime,DailyAcres,DiscoveryAcres,FireCause,FireDiscoveryDateTime,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,IrwinID,LocalIncidentIdentifier,POOCounty,POODispatchCenterID,POOFips,POOState,UniqueFireIdentifier,total_acres,fire_id
-110.449210707,33.597505223,2020-09-13 19:30:00+00:00,2020-09-13 19:34:59+00:00,633.0,0.1,Natural,2020-08-28 00:46:59+00:00,WF,FI,33.574,-110.3783,{513C02E0-10EE-4077-971D-7A3B129CCD0E},002639,Gila,AZPHC,04007,US-AZ,2020-AZSCA-002639,633.1,4379
-105.563909805,35.3664157480001,2020-09-07 00:59:59+00:00,2020-09-13 21:59:59+00:00,4.6,1.0,Natural,2020-09-06 18:45:33+00:00,WF,FI,35.38566,-105.5678,{75D1EDA5-861E-4CD2-96C9-50F46BABFCCE},000636,San Miguel,NMSFC,35047,US-NM,2020-NMSNF-000636,5.6,4383
-113.208311633,37.7768755980001,2020-05-30 23:45:00+00:00,2020-05-31 18:30:00+00:00,7.25,3.0,Human,2020-05-30 17:35:00+00:00,WF,FI,37.77527,-113.2094,{1EECFAAF-ED95-4657-BB0B-5C97590AAE17},000159,Iron,UTCDC,49021,US-UT,2020-UTSWS-000159,10.25,4387
-112.870311659,38.5979457180001,2020-06-04 17:00:00+00:00,2020-06-05 18:59:59+00:00,386.9,0.2,Natural,2020-06-04 04:21:00+00:00,WF,FI,38.59772,-112.8858,{41290CBE-B2C3-4C1B-90C8-476D42F3F779},200122,Millard,UTRFC,49027,US-UT,2020-UTSCS-200122,387.09999999999997,4389
-106.675610017,34.9554856240001,2020-03-11 22:30:00+00:00,2020-03-11 22:30:00+00:00,40.0,0.1,Human,2020-03-10 18:46:00+00:00,WF,FI,34.9072,-106.6891,{98C74D90-4643-4E14-958B-BD39ED7837CB},000035,Bernalillo,NMSFC,35001,US-NM,2020-NMN6S-000035,40.1,4392
-110.608310718,33.315895174,2020-08-20 18:45:00+00:00,2020-08-20 18:45:00+00:00,2.1,0.1,Natural,2020-08-18 00:27:59+00:00,WF,FI,33.3191,-110.5645,{D0317BBF-ACBB-4C7E-AF7E-93B1995E34BE},002506,Gila,AZPHC,04007,US-AZ,2020-AZSCA-002506,2.2,4395
-120.998813296,40.129605246,2020-08-19 21:00:00+00:00,2020-08-19 21:00:00+00:00,2.1,1.0,Natural,2020-08-18 18:04:46+00:00,WF,FI,40.1296,-120.9988,{AFDDE9E3-0317-4D64-AF11-2B69FC76687E},001323,Plumas,CAPNFC,06063,US-CA,2020-CAPNF-001323,3.1,4398
-110.21801069,33.9966152910001,2020-09-17 23:58:59+00:00,2020-10-05 22:36:00+00:00,10.8,0.1,Natural,2020-09-14 05:19:59+00:00,WF,FI,33.99691,-110.227,{070AF91F-A1E0-4B52-BB5C-617662E0CDE4},000968,Gila,AZSDC,04007,US-AZ,2020-AZFTA-000968,10.9,4404
-112.697012046,41.8063960860001,2020-09-08 21:55:00+00:00,2020-09-17 00:00:00+00:00,9.5,1.0,Human,2020-09-08 21:05:21+00:00,WF,FI,41.80639,-112.697,{AC436D57-4FCA-464E-A6C3-053F31964BB4},000901,Box Elder,UTNUC,49003,US-UT,2020-UTBRS-000901,10.5,4408
-112.41891115,34.27484521,2020-11-01 23:00:00+00:00,2020-11-13 21:30:00+00:00,9537.0,2.0,Human,2020-10-15 18:42:00+00:00,WF,FI,34.27052,-112.4201,{5322D340-C4A5-44BD-AEC0-C79A3FE53018},002178,Yavapai,AZPDC,04025,US-AZ,2020-AZPNF-002178,9539.0,4414
