ID,sum_rain,sum_snow
1,84.37,1.32
5,10.54,0.0
10,68.55,0.66
12,700.02,14.17
15,295.30999999999995,0.66
19,200.39999999999998,5.28
20,100.19,0.66
22,52.73,0.0
24,15.82,0.0
32,73.82,0.66
35,89.63999999999999,0.66
37,31.64,0.0
44,79.10000000000001,1.32
53,42.18,0.0
54,152.93,2.64
58,340.03,0.17
60,100.19,1.32
62,152.93,3.3000000000000003
71,15.82,0.0
75,42.18,0.0
85,89.63999999999999,0.66
87,195.12,1.98
90,79.09,0.66
93,10.54,1.32
101,58.010000000000005,1.98
115,31.64,0.0
120,116.00999999999999,1.98
128,21.1,0.0
132,147.65,2.64
134,168.75,1.32
138,42.18,0.0
141,58.010000000000005,1.98
143,110.72999999999999,1.98
145,94.92,1.32
154,52.730000000000004,0.66
155,31.64,0.0
157,126.55,1.98
166,31.64,0.0
178,94.91999999999999,1.32
180,52.730000000000004,0.0
185,42.18,0.0
186,110.73,0.66
192,94.92,1.32
195,110.73999999999998,2.64
196,42.18,0.0
202,36.92,0.0
203,15.82,1.32
207,15.82,0.0
211,100.2,1.98
213,26.37,0.0
215,21.09,0.0
233,137.1,1.98
246,110.73999999999998,2.64
248,52.72,0.0
254,73.82,0.66
260,158.2,3.96
269,42.18,0.0
270,52.72,0.0
271,63.269999999999996,0.0
273,68.55,0.66
280,116.00999999999999,1.98
286,147.65000000000003,2.64
297,84.37,0.0
298,42.18,0.0
301,10.55,0.0
306,10.54,0.0
319,100.19999999999999,0.0
326,126.55999999999999,3.3
329,31.64,0.0
335,89.63999999999999,0.66
342,58.010000000000005,0.0
390,47.459999999999994,0.0
394,21.09,0.0
396,21.1,0.0
405,10.54,0.0
407,31.64,0.66
415,42.18,0.0
421,21.09,0.0
422,21.09,0.0
427,105.46999999999998,2.64
430,116.00999999999999,1.32
432,131.82999999999998,3.3000000000000003
436,36.91,0.0
448,31.64,0.0
458,94.92,1.32
460,295.30999999999995,0.66
461,42.18,0.0
468,5.27,1.32
469,42.18,0.0
485,163.47,5.28
486,36.91,0.66
495,31.64,0.0
505,26.37,0.0
510,58.0,0.0
519,58.0,0.66
521,369.51000000000005,0.05
522,31.64,0.0
527,68.55,0.0
528,0.0,0.0
530,84.38,1.32
535,84.37,1.98
540,36.91,0.0
550,147.66,0.66
551,116.0,3.3000000000000003
554,79.09,0.0
558,100.19999999999999,0.0
559,31.64,0.0
567,84.36999999999999,0.66
569,36.91,0.0
583,10.54,0.0
584,68.55,0.66
585,89.64999999999999,1.98
588,116.02,0.0
597,0.0,0.0
602,21.09,0.0
603,52.730000000000004,1.32
606,58.010000000000005,1.98
607,94.91999999999999,1.32
609,36.91,0.66
618,47.44,0.0
621,94.91999999999999,1.32
624,36.91,0.0
625,31.64,0.0
626,79.1,1.32
631,84.37,0.66
634,47.46,1.32
662,184.56,7.26
676,79.10000000000001,1.32
680,131.83999999999997,1.32
685,131.83999999999997,1.32
691,21.09,0.0
698,42.18,0.0
700,126.55999999999999,3.96
716,26.36,0.0
731,126.56,4.62
737,137.11,0.66
741,63.269999999999996,0.0
750,174.02,3.96
754,89.63999999999999,1.98
763,42.18,0.0
772,105.46,1.32
778,369.51000000000005,0.05
785,31.64,0.0
797,369.51000000000005,0.05
800,195.12,2.64
803,26.36,0.66
804,116.00999999999999,1.32
811,79.1,0.66
814,105.46,1.32
823,79.1,0.0
825,163.47,5.28
827,5.27,0.0
832,68.55,0.66
841,94.92,1.32
846,168.75,1.32
854,26.37,0.0
856,47.459999999999994,0.0
865,42.19,1.32
867,21.09,0.0
868,21.09,0.0
883,21.09,0.0
893,42.18,0.0
