DiscoveryAcres,total_acres,temp_2m,temp_2m_max,humidity,rain,wind_speed_2m,wind_speed_2m_max,wind_speed_10m,wind_speed_10m_max,surface_soil_wetness_5cm_below,surface_soil_wetness_to_bedrock,landcover_class
0.3,0.6,25.24,34.48,7.87,0.99,0.16,0.7,1.21,2.22,0.35,0.47,163
2.0,10.0,6.87,16.2,2.2,0.0,2.13,5.16,3.24,7.29,0.47,0.46,158
0.1,0.2,26.26,35.36,8.24,0.93,0.16,0.76,2.48,4.38,0.2,0.46,163
0.1,0.2,17.81,26.08,2.81,0.0,2.41,4.78,3.7,6.82,0.23,0.34,158
0.1,0.2,11.39,23.38,1.71,0.0,1.02,1.35,2.34,2.67,0.19,0.43,44
1.0,6.4,22.62,31.08,3.3,0.0,1.39,2.74,2.98,6.23,0.15,0.45,151
0.1,0.2,19.15,29.3,4.7,0.0,1.18,1.91,2.81,4.29,0.29,0.35,187
0.1,0.2,13.2,21.34,3.85,0.0,2.37,5.05,3.52,6.71,0.27,0.34,583
1.0,4.4,21.87,31.72,3.72,0.0,2.32,5.43,3.33,7.4,0.19,0.38,144
1.0,37.0,21.58,30.07,4.82,0.0,0.41,0.83,1.64,3.59,0.16,0.46,42
0.1,0.2,5.73,15.47,2.2,0.05,0.6,0.94,2.58,4.09,0.38,0.41,158
0.1,3.2,28.27,38.45,3.05,0.0,2.24,3.95,3.44,5.42,0.23,0.47,460
0.1,0.2,19.12,26.09,9.7,4.52,2.16,3.45,3.49,5.27,0.33,0.37,187
0.1,0.2,28.11,34.71,6.47,0.73,4.37,8.58,6.11,11.2,0.27,0.39,472
0.1,0.2,33.99,42.95,3.54,0.0,2.69,5.54,3.82,7.27,0.08,0.38,580
0.1,0.2,15.55,24.56,3.36,0.0,0.72,1.19,2.83,4.27,0.27,0.47,158
0.5,1.0,27.02,35.28,8.18,0.01,0.95,1.85,1.8,3.19,0.31,0.41,158
0.5,1.25,16.13,23.26,5.13,0.0,0.05,0.27,2.77,3.89,0.48,0.5,162
0.1,0.2,2.3,10.42,3.3,0.22,2.15,4.62,3.26,6.11,0.37,0.38,489
0.1,0.2,21.74,32.66,4.33,0.0,0.85,1.97,1.94,4.39,0.16,0.38,163
0.1,0.2,-3.14,4.23,2.01,0.0,2.78,4.2,5.25,7.47,0.42,0.43,489
0.1,0.2,29.19,38.13,10.07,0.82,2.64,4.66,3.79,6.36,0.26,0.47,444
1.0,2.0,22.31,30.81,5.0,0.0,1.84,3.9,2.7,5.18,0.49,0.53,582
0.2,0.4,24.19,33.08,6.53,0.16,1.67,2.96,2.59,4.7,0.16,0.37,491
1.0,3.0,25.33,34.28,2.99,0.0,2.88,4.48,4.2,6.38,0.27,0.38,474
0.1,0.2,22.74,31.96,3.48,0.03,3.6,7.09,5.1,9.47,0.13,0.37,583
0.1,0.2,26.83,33.88,2.75,0.0,1.68,2.51,2.46,3.43,0.09,0.39,472
4.0,8.0,16.87,25.26,4.39,0.0,4.53,7.29,6.49,9.84,0.35,0.41,187
0.1,2.5,14.76,24.01,4.58,0.0,1.38,2.68,2.09,3.38,0.35,0.38,557
1.0,2.5,24.16,31.65,10.13,0.13,0.98,1.48,1.52,1.98,0.38,0.41,493
0.1,0.2,29.08,37.27,8.12,0.02,2.85,5.23,4.34,8.1,0.18,0.31,48
0.2,0.4,9.62,18.54,3.91,0.0,1.07,1.84,2.42,3.84,0.35,0.38,557
0.1,0.2,9.65,17.29,4.46,0.0,1.39,2.72,3.93,6.2,0.46,0.49,491
1.0,2.5,19.55,26.33,9.03,5.1,1.36,2.16,3.19,4.27,0.36,0.35,489
0.1,0.2,2.67,9.48,2.81,0.06,1.02,1.4,2.41,3.59,0.65,0.63,491
0.1,20.1,21.54,30.45,4.15,0.05,3.23,5.85,4.6,7.54,0.24,0.38,489
0.1,0.2,28.16,36.48,6.53,0.03,2.0,4.35,2.92,6.02,0.14,0.34,186
0.1,0.35,25.05,33.26,4.7,0.0,1.74,3.15,2.69,4.24,0.22,0.38,556
0.1,1.9,25.14,34.22,6.04,0.0,1.19,2.57,1.84,3.21,0.21,0.39,144
0.1,0.2,20.76,28.07,3.17,0.16,1.31,2.17,2.38,4.06,0.27,0.34,316
0.1,0.2,20.05,28.26,7.57,0.58,1.0,1.42,2.61,3.71,0.32,0.38,316
5.0,9.6,23.27,32.92,6.16,1.23,2.34,7.02,3.27,9.7,0.3,0.34,489
1.0,1.1,22.72,31.07,9.89,0.38,1.29,2.34,2.08,3.49,0.37,0.36,183
0.1,0.2,27.21,35.38,7.87,0.58,2.7,5.06,3.81,7.23,0.21,0.36,489
0.1,1.4,19.51,28.9,6.96,0.17,1.92,3.52,3.0,4.76,0.23,0.37,529
0.1,0.3,16.44,27.1,4.7,0.0,0.1,0.32,2.01,3.24,0.48,0.51,162
0.1,0.2,25.51,34.68,2.32,0.0,2.03,4.16,3.13,5.43,0.1,0.43,474
0.1,0.2,4.29,9.43,3.3,1.62,4.93,7.2,6.9,10.16,0.31,0.34,489
0.1,0.2,27.23,34.1,5.37,0.0,2.62,6.02,3.76,7.95,0.12,0.34,542
0.1,0.35,19.91,27.76,7.93,0.0,0.66,0.99,2.33,4.43,0.23,0.44,163
0.1,0.2,23.34,33.44,3.78,0.0,2.09,3.73,3.28,5.15,0.35,0.48,444
0.1,0.2,26.14,33.63,3.97,0.0,1.95,3.23,2.66,4.14,0.16,0.42,183
1.0,3.0,27.32,33.25,11.35,0.01,1.8,3.51,2.38,4.52,0.17,0.43,0
0.3,0.55,25.9,33.02,4.21,0.14,2.05,4.11,2.78,5.02,0.11,0.33,183
1.0,2.0,17.0,25.71,5.31,0.64,1.17,1.84,3.09,4.95,0.36,0.41,316
5.1,10.2,25.77,33.68,7.81,0.06,1.12,2.34,1.7,3.5,0.38,0.43,491
0.1,0.2,18.21,25.88,5.43,0.15,1.96,3.88,3.48,6.36,0.34,0.39,158
0.1,0.2,32.45,40.33,3.3,0.0,3.38,6.39,4.72,7.99,0.06,0.38,472
0.1,0.2,19.9,26.71,7.14,0.15,1.11,1.87,2.07,3.03,0.49,0.51,163
2.5,5.0,18.08,27.12,3.36,0.0,2.3,4.71,3.9,7.05,0.27,0.38,158
0.1,0.2,20.31,28.17,3.97,0.0,2.12,4.62,3.07,6.18,0.37,0.49,460
0.1,0.2,26.16,35.06,2.62,0.0,1.22,2.36,1.8,3.01,0.09,0.33,484
0.1,0.2,20.8,27.76,5.55,0.56,2.81,5.54,4.05,7.25,0.12,0.38,144
1.0,2.25,33.67,41.88,9.89,1.3,2.52,7.06,3.59,9.92,0.27,0.44,460
1.0,1.1,22.29,30.65,3.85,0.0,4.03,7.91,5.83,10.69,0.3,0.37,183
0.1,0.2,11.6,21.23,4.58,0.0,1.61,3.03,3.45,6.59,0.36,0.38,491
0.1,0.2,17.58,25.44,6.77,0.0,2.08,3.77,3.02,4.99,0.4,0.44,472
0.1,16.900000000000002,16.51,24.24,4.03,0.0,1.9,3.41,2.75,4.21,0.2,0.34,484
0.1,0.2,16.6,25.48,6.77,0.03,0.88,2.24,1.52,3.84,0.26,0.34,151
0.1,229.1,26.53,32.77,12.08,3.32,1.55,3.18,2.28,4.02,0.33,0.35,187
1.0,2.0,28.38,36.33,3.54,0.0,2.93,5.44,4.39,7.04,0.1,0.36,582
1.0,1.1,19.4,28.38,7.81,0.0,2.71,5.27,3.95,7.36,0.27,0.38,162
1.0,461.0,1.03,11.5,2.62,0.0,0.33,0.71,1.93,2.46,0.5,0.52,163
0.1,0.2,15.73,19.13,9.16,2.15,0.53,1.02,2.02,2.98,0.48,0.49,187
20.0,50.0,27.37,33.55,9.46,2.57,2.05,4.66,2.96,6.17,0.28,0.34,46
0.1,0.2,25.88,32.62,8.61,2.02,2.74,4.97,4.02,6.62,0.22,0.34,582
0.1,0.2,21.59,32.17,6.29,0.01,3.31,6.77,4.75,9.45,0.26,0.35,158
0.1,0.2,33.05,40.62,9.16,0.3,1.6,3.39,2.55,5.14,0.23,0.38,358
1.0,1.1,10.99,19.75,5.98,1.64,0.47,0.88,2.71,3.48,0.5,0.5,163
0.1,0.35,6.67,15.26,3.11,0.01,1.76,3.27,3.7,6.2,0.39,0.42,158
0.1,0.2,26.75,34.59,2.81,0.0,1.98,3.77,2.84,4.89,0.15,0.38,557
0.1,0.2,28.23,36.8,5.13,0.0,2.23,3.89,3.16,4.81,0.12,0.37,472
0.1,5.1,31.87,39.84,8.0,0.25,2.28,4.54,3.46,6.12,0.27,0.48,47
0.1,2946.1,19.95,27.66,5.68,0.0,1.93,3.08,4.5,6.63,0.34,0.5,187
0.1,0.2,5.98,9.49,4.33,3.67,2.6,4.3,3.71,6.32,0.45,0.47,460
0.1,0.2,15.99,20.55,4.94,0.0,3.66,5.71,6.09,8.71,0.22,0.31,48
1.0,1.25,16.99,27.29,3.42,0.0,2.66,5.17,4.46,7.25,0.33,0.47,472
0.3,0.6,24.26,33.49,2.69,0.0,1.73,3.68,2.66,5.28,0.21,0.37,152
20.0,51.0,13.59,18.97,5.19,0.5,3.23,4.39,4.46,5.8,0.3,0.37,158
0.1,0.2,10.87,19.84,4.7,0.0,0.92,2.19,2.64,3.37,0.45,0.46,152
0.1,0.2,21.88,30.69,7.63,0.0,2.85,5.17,4.35,7.14,0.48,0.52,460
0.2,0.4,29.51,38.12,8.3,1.15,1.38,2.98,2.04,3.71,0.14,0.33,183
0.1,318776.1,14.42,21.15,5.62,0.0,0.23,0.82,2.41,3.37,0.6,0.61,162
1.0,1.1,19.8,28.92,4.39,0.0,1.38,2.23,2.85,3.98,0.2,0.34,489
0.1,1.1,21.62,27.22,4.76,0.0,3.93,6.34,5.25,8.16,0.22,0.43,498
1.0,1.25,25.22,33.48,4.7,0.0,0.75,1.47,1.48,3.13,0.16,0.39,159
0.1,0.2,20.76,28.51,7.69,1.41,2.05,3.64,2.97,4.76,0.3,0.4,490
0.3,0.55,36.91,44.68,5.31,0.0,2.03,3.22,3.01,3.9,0.07,0.38,540
0.1,3496.1,19.95,27.82,3.66,0.0,4.59,7.89,6.16,10.16,0.13,0.38,470
0.1,0.5,2.92,13.3,4.7,0.97,4.13,5.61,6.62,8.98,0.21,0.3,48
0.1,0.2,30.48,38.49,5.98,0.0,2.8,4.91,4.06,6.38,0.16,0.37,472
0.1,0.2,10.92,20.12,4.09,0.0,1.82,3.45,3.79,6.05,0.44,0.47,158
0.1,0.56,31.19,38.46,5.49,0.06,1.8,3.29,2.62,4.18,0.08,0.37,470
0.1,0.2,30.78,38.98,8.97,0.93,1.35,3.28,3.42,7.11,0.16,0.42,579
6.1,12.2,19.87,29.85,3.54,0.0,1.7,3.93,3.04,6.58,0.34,0.4,583
1.0,13.0,10.73,17.55,3.66,0.0,3.8,6.83,5.11,8.91,0.42,0.45,470
0.1,0.2,26.53,35.33,6.71,0.71,3.84,6.63,5.6,9.17,0.3,0.39,185
0.1,13.4,-3.51,2.89,1.46,0.0,2.12,3.6,3.03,4.55,0.48,0.49,562
0.1,0.2,16.71,24.29,6.9,0.82,0.21,0.99,1.44,2.01,0.35,0.38,489
1.0,1.5,5.7,13.37,2.99,0.0,2.56,3.67,4.13,5.65,0.21,0.36,151
1.0,1.1,18.12,26.67,5.0,0.01,2.39,4.4,5.04,8.3,0.44,0.48,158
1.0,1.25,20.71,26.2,2.69,0.0,0.83,1.03,6.36,7.33,0.15,0.46,163
0.1,2.1,16.93,26.12,2.87,0.0,2.3,3.76,3.62,5.24,0.17,0.44,489
0.1,1.9,27.26,35.37,6.35,0.06,2.09,3.59,2.92,4.76,0.14,0.39,158
0.1,0.2,10.25,21.27,2.32,0.0,3.11,5.41,4.85,7.94,0.28,0.34,542
0.1,2034.1,20.94,30.53,4.27,0.0,2.09,4.16,3.86,6.78,0.23,0.34,158
0.1,2.9,13.55,23.53,6.29,0.46,0.38,0.77,1.46,2.45,0.38,0.4,156
0.1,0.2,6.61,14.01,2.93,0.12,0.6,0.95,3.3,5.41,0.38,0.41,148
0.3,0.55,26.94,37.64,5.37,0.03,0.22,0.92,1.86,2.52,0.27,0.45,44
0.1,2.16,6.43,12.81,5.13,0.0,0.33,0.55,2.13,5.29,0.12,0.45,163
0.5,1.0,28.37,36.36,7.14,0.0,2.2,4.94,3.17,6.34,0.09,0.37,472
0.1,0.2,11.1,13.23,8.12,0.64,0.11,0.29,1.62,2.42,0.78,0.74,55
0.1,0.2,15.38,26.01,2.56,0.0,0.7,1.25,2.19,3.07,0.16,0.46,550
1.0,220.0,6.39,14.51,2.32,0.0,1.39,2.92,2.1,3.84,0.3,0.47,472
0.1,0.2,15.57,25.71,6.9,0.0,0.04,0.15,1.72,3.41,0.51,0.53,55
1.0,2.0,21.64,31.62,2.75,0.0,2.94,5.31,4.16,7.63,0.18,0.38,582
0.1,4.1,15.55,24.56,3.36,0.0,0.72,1.19,2.83,4.27,0.27,0.47,158
0.1,0.2,21.58,30.23,7.08,0.77,1.87,3.82,3.05,5.54,0.31,0.38,186
0.1,0.2,3.97,12.21,2.44,0.0,1.25,2.59,2.35,4.59,0.35,0.37,557
0.5,235.5,25.11,33.65,4.09,0.0,2.49,5.03,3.9,7.02,0.16,0.34,575
0.1,0.7,34.19,43.19,7.32,0.14,1.98,4.04,3.04,5.23,0.14,0.42,461
0.2,0.38,24.26,33.48,3.6,0.0,2.05,4.68,3.09,6.17,0.14,0.42,498
0.1,0.2,20.06,27.96,5.86,0.0,0.68,0.91,2.34,3.98,0.18,0.46,162
0.1,0.2,23.7,32.05,5.25,0.0,2.85,5.54,4.11,7.62,0.28,0.35,484
600.0,1189.9,29.37,35.58,9.89,0.23,1.36,2.13,2.11,2.96,0.23,0.41,474
0.1,3.2,17.97,28.71,2.38,0.0,2.41,5.18,3.76,7.16,0.12,0.38,151
0.1,1.1,25.15,33.07,8.61,0.01,2.05,3.53,3.12,4.84,0.3,0.31,49
0.1,0.44,24.73,36.48,5.37,0.0,0.84,1.59,1.77,2.58,0.27,0.38,159
0.3,0.6,26.66,34.8,9.09,0.9,2.38,4.73,3.4,6.84,0.24,0.35,158
0.1,0.2,0.52,5.01,3.17,3.49,3.7,4.7,9.17,11.64,0.14,0.34,557
0.5,1.0,21.79,30.83,7.51,0.73,2.04,3.29,4.19,6.38,0.33,0.37,187
0.1,0.5,9.87,18.35,3.23,0.0,0.94,1.36,1.84,2.59,0.47,0.48,162
0.1,0.2,14.59,19.76,6.04,5.94,3.38,6.3,4.92,8.45,0.48,0.43,489
1.0,1.6,20.19,31.52,3.11,0.0,0.58,1.18,2.01,3.75,0.12,0.34,186
0.1,0.2,30.98,38.67,7.08,0.0,2.37,4.73,3.48,6.23,0.15,0.46,460
0.1,0.2,24.02,32.26,8.3,1.24,1.35,2.73,2.49,4.51,0.32,0.42,490
800.0,1615.9,17.44,24.8,3.3,0.05,3.14,6.55,4.75,8.88,0.12,0.34,148
0.1,0.2,26.2,35.54,7.57,0.0,2.91,4.52,4.88,7.19,0.3,0.48,462
0.1,0.2,2.39,7.89,3.48,2.76,1.95,3.71,2.7,4.67,0.52,0.49,187
0.1,0.2,19.85,24.85,9.64,1.45,1.99,3.66,3.17,5.17,0.52,0.56,47
5.0,12.34,19.46,30.83,5.92,0.08,1.36,3.09,2.02,4.35,0.28,0.38,303
0.1,3.6,30.15,40.84,7.14,0.0,1.0,1.95,1.85,3.19,0.13,0.45,162
0.1,0.2,25.88,33.23,6.29,0.88,0.16,0.44,1.07,1.67,0.16,0.46,162
0.1,0.2,26.27,33.92,8.3,0.51,2.36,4.84,3.53,6.66,0.23,0.38,187
0.1,0.2,31.9,41.8,9.34,1.52,2.04,4.27,2.99,6.23,0.19,0.46,48
0.1,0.2,23.0,32.05,2.93,0.0,1.45,2.29,2.5,3.57,0.2,0.35,489
0.1,48.6,17.66,23.44,7.02,0.06,0.68,1.08,2.9,4.66,0.38,0.41,490
0.1,0.2,25.23,35.22,6.59,0.1,1.33,2.39,3.05,5.34,0.28,0.35,316
0.1,0.3,14.23,20.73,6.29,0.66,3.14,5.7,5.48,9.51,0.26,0.48,158
10.0,27.89,4.91,12.4,2.93,0.0,0.73,1.08,1.23,1.8,0.55,0.48,141
0.1,0.2,20.65,28.8,5.49,2.05,2.4,4.09,3.86,6.57,0.32,0.47,187
0.1,0.4,17.02,24.87,7.08,0.43,1.37,2.49,2.48,4.27,0.38,0.42,151
0.1,0.2,12.84,20.83,4.46,0.03,2.31,3.94,3.62,5.29,0.4,0.43,557
0.1,0.2,11.57,18.57,3.54,0.0,1.76,3.06,2.76,3.77,0.44,0.46,583
1.0,1.18,20.48,29.04,7.14,0.2,0.58,0.94,2.45,4.46,0.23,0.44,489
0.1,0.2,-0.55,3.97,2.14,0.0,0.06,0.1,5.79,7.85,0.63,0.62,56
0.1,7.8,22.87,31.73,6.65,0.4,1.98,4.02,3.41,6.62,0.27,0.37,187
0.5,1.25,19.8,25.71,9.03,11.88,6.94,11.16,8.43,13.65,0.51,0.49,561
0.1,0.2,24.73,34.11,6.41,0.0,1.45,2.7,2.66,4.0,0.2,0.31,316
1.0,11.0,23.04,31.62,2.62,0.0,2.09,4.02,3.27,5.47,0.2,0.34,457
0.1,0.2,23.11,30.7,8.54,0.09,1.38,2.27,3.01,4.47,0.16,0.34,556
0.5,2.0,20.87,29.75,3.66,0.0,2.52,4.71,4.3,7.13,0.23,0.37,158
0.1,0.2,23.51,32.51,2.5,0.0,1.8,3.31,2.83,4.22,0.1,0.43,472
1.1,2.2,22.98,31.73,4.46,0.0,2.27,4.88,3.1,6.21,0.14,0.37,485
3.0,498.0,16.59,26.89,4.03,0.0,2.69,5.16,4.72,7.5,0.34,0.38,302
0.1,0.2,21.78,29.01,9.64,2.78,1.65,3.01,2.6,4.41,0.32,0.36,187
0.1,2.1,25.48,34.69,6.41,0.0,1.08,1.45,2.36,3.05,0.38,0.45,557
1.0,1.25,15.64,21.87,3.72,0.0,2.81,6.21,3.79,8.67,0.41,0.45,582
0.1,1.6,21.48,29.44,2.81,0.0,2.23,4.04,3.16,4.91,0.1,0.37,183
1.0,1.25,26.84,34.55,6.41,0.0,2.7,4.14,3.66,5.14,0.3,0.42,457
0.1,0.2,23.65,30.86,6.71,0.0,3.72,5.16,5.8,7.81,0.24,0.3,49
0.1,0.2,15.08,22.3,3.6,0.0,1.95,3.48,2.73,4.22,0.31,0.38,470
1.0,89.0,26.15,34.26,4.46,0.02,2.22,4.73,3.23,6.8,0.2,0.49,183
1.0,9.8,20.37,28.48,6.77,0.0,0.55,0.8,3.21,4.7,0.48,0.53,582
0.1,0.2,24.67,32.44,4.88,0.0,4.01,6.37,5.63,8.55,0.2,0.35,331
0.1,0.2,19.55,26.33,9.03,5.1,1.36,2.16,3.19,4.27,0.36,0.35,187
0.1,12.1,21.8,30.27,3.17,0.0,2.2,2.99,3.29,4.46,0.24,0.34,189
0.1,0.2,18.09,27.5,1.65,0.0,1.3,2.4,1.94,3.02,0.17,0.42,457
2.2,4.4,17.18,25.69,5.0,0.0,0.64,0.98,2.99,5.01,0.46,0.53,158
0.1,0.2,26.75,34.59,2.81,0.0,1.98,3.77,2.84,4.89,0.15,0.38,489
0.5,1.0,27.15,35.6,3.78,0.0,1.07,1.55,2.43,3.71,0.16,0.42,162
0.1,0.2,23.65,30.86,6.71,0.0,3.72,5.16,5.8,7.81,0.24,0.3,49
0.1,0.2,7.99,17.78,3.48,0.13,1.57,3.27,2.67,4.59,0.36,0.38,489
0.1,0.2,26.42,36.3,2.93,0.0,2.3,4.27,3.38,5.74,0.16,0.38,476
10.0,26.5,13.14,21.27,3.66,0.0,2.62,5.02,3.91,6.43,0.45,0.48,472
0.1,0.2,19.93,28.69,3.05,0.0,0.47,1.16,2.37,3.12,0.24,0.46,151
5.0,2822.0,8.33,15.32,5.86,0.0,0.2,0.82,0.92,1.52,0.76,0.73,162
0.1,0.2,31.19,37.61,7.75,0.19,1.14,1.98,3.05,5.34,0.26,0.48,460
10.0,39.0,25.95,33.87,10.68,0.56,1.29,2.23,2.06,3.69,0.22,0.3,49
0.1,0.2,26.9,36.51,8.42,0.01,2.5,4.14,3.55,6.0,0.21,0.34,158
0.1,0.2,18.19,26.36,5.31,0.07,2.35,4.14,4.5,6.93,0.38,0.39,316
0.1,0.2,28.17,38.01,5.62,0.0,1.99,4.73,3.02,6.51,0.16,0.36,162
0.1,0.2,17.95,26.02,2.38,0.0,1.56,3.62,2.23,4.89,0.14,0.34,557
1.0,2.0,26.86,36.02,5.43,0.0,3.09,5.55,4.44,7.79,0.16,0.36,183
0.3,0.6499999999999999,29.8,38.45,8.12,0.02,2.59,5.22,3.86,7.0,0.16,0.47,582
0.1,1673.1,15.55,24.56,3.36,0.0,0.72,1.19,2.83,4.27,0.27,0.47,158
1.0,7.84,29.36,38.04,7.63,0.32,2.35,4.48,3.45,6.11,0.33,0.48,472
0.1,1.7000000000000002,18.59,29.49,2.14,0.0,1.88,3.47,3.25,4.67,0.2,0.34,583
1.0,1.5,21.3,29.06,5.74,0.16,1.98,4.11,3.32,6.16,0.53,0.59,489
1.0,1.1,18.52,28.2,4.21,0.0,1.7,2.8,3.34,4.98,0.45,0.54,47
0.1,0.2,22.58,28.73,12.88,7.08,2.08,3.31,3.08,4.48,0.46,0.41,187
0.1,0.2,12.62,21.44,6.23,0.0,1.41,3.77,2.12,5.31,0.39,0.41,582
0.1,0.2,21.23,29.67,4.88,0.0,2.06,3.64,4.27,6.65,0.2,0.34,489
0.1,0.2,26.26,34.44,7.45,0.87,1.79,4.18,2.59,5.85,0.16,0.45,489
0.1,0.2,17.3,26.8,7.81,0.0,0.41,0.65,2.27,4.18,0.46,0.54,158
0.1,0.2,14.15,23.18,1.77,0.0,1.42,2.56,2.38,3.59,0.18,0.34,302
0.1,0.2,23.37,31.19,3.48,0.0,2.09,4.45,3.09,6.01,0.18,0.47,47
0.1,0.2,29.17,37.56,8.12,0.05,2.13,5.48,3.05,7.19,0.16,0.42,187
0.1,0.2,18.51,26.68,9.03,1.57,0.83,1.84,2.34,5.16,0.32,0.38,148
0.1,0.2,24.85,34.07,4.09,0.0,0.48,1.13,2.25,3.41,0.23,0.47,316
0.1,0.2,22.0,30.95,6.9,0.02,3.98,5.62,5.74,7.73,0.39,0.44,489
0.1,0.2,20.34,30.77,8.42,0.41,1.23,2.2,2.17,3.59,0.23,0.34,148
1.0,10.0,7.65,15.48,4.94,0.0,0.38,1.17,2.1,2.38,0.8,0.77,162
1.0,1.1,31.12,40.86,9.89,1.49,2.23,5.52,3.2,7.48,0.09,0.38,183
0.1,0.3,34.8,43.7,6.35,0.0,1.23,2.42,2.24,4.3,0.13,0.45,162
0.1,0.2,26.55,35.07,8.73,0.06,1.29,3.07,2.17,5.01,0.21,0.3,49
0.1,3.25,17.56,26.01,2.75,0.0,1.95,4.3,2.82,5.7,0.4,0.49,444
2.0,7.61,-0.99,3.4,3.97,9.88,6.16,8.68,8.79,12.3,0.42,0.39,183
0.1,0.2,19.92,28.52,3.78,0.0,2.66,4.68,4.02,6.39,0.34,0.46,556
20.0,25.1,27.15,35.83,5.13,0.1,1.62,4.04,2.57,5.52,0.26,0.38,187
4.0,12.0,12.87,20.55,4.09,0.12,1.45,2.06,2.55,3.38,0.38,0.41,163
0.1,0.2,19.09,28.48,3.48,0.0,1.17,1.93,2.35,3.91,0.14,0.39,579
0.1,0.2,4.25,12.31,2.99,0.08,2.42,4.5,3.5,5.84,0.45,0.45,158
0.1,0.2,25.88,36.12,6.23,0.0,2.48,5.16,3.66,7.27,0.15,0.36,162
0.1,0.2,20.84,29.15,7.69,0.96,2.52,4.74,3.62,6.55,0.16,0.34,489
0.1,0.2,30.62,38.31,2.87,0.0,2.88,5.25,4.02,6.46,0.09,0.38,472
0.3,0.76,7.05,15.82,3.97,0.27,0.38,1.05,2.57,3.88,0.62,0.58,557
0.1,0.2,19.32,30.98,6.35,0.0,0.04,0.16,2.23,3.48,0.21,0.46,55
0.1,0.6,23.9,33.76,3.6,0.0,2.34,5.13,3.45,7.14,0.16,0.46,444
0.1,0.2,28.51,38.62,5.62,0.0,2.75,4.99,4.19,6.79,0.34,0.4,476
1.0,1.1,23.35,31.64,3.54,0.0,0.56,1.21,2.35,4.84,0.14,0.46,148
2.0,2.79,24.77,32.73,8.61,7.95,1.07,2.14,2.16,3.89,0.28,0.4,557
0.1,0.2,9.88,17.76,2.44,0.25,2.09,4.16,3.74,6.93,0.39,0.43,316
0.1,0.2,5.12,9.49,4.76,1.25,0.59,0.81,2.84,4.35,0.48,0.48,55
0.1,3.3000000000000003,28.71,36.9,3.42,0.0,2.55,4.98,3.55,6.16,0.09,0.37,470
0.1,0.2,24.92,32.19,5.92,0.01,2.82,5.02,4.19,6.41,0.1,0.39,183
0.5,1.0,7.4,13.23,4.27,0.03,0.58,1.13,1.81,2.63,0.56,0.55,187
1.0,1.1,20.8,26.89,7.51,0.09,1.66,3.1,2.82,4.77,0.39,0.45,443
0.1,0.4,19.58,28.68,5.31,0.03,0.36,1.01,2.48,3.86,0.41,0.45,491
1.0,1.1,19.4,28.26,4.64,0.0,1.61,2.27,3.12,4.49,0.18,0.39,163
0.1,0.2,21.91,29.32,6.23,0.48,3.23,4.91,5.14,7.27,0.29,0.31,49
0.1,0.35,24.86,31.49,8.73,0.0,2.42,3.52,3.7,5.11,0.2,0.3,47
0.1,0.2,18.32,29.15,7.02,1.08,2.02,3.64,4.36,7.74,0.43,0.47,151
2.0,4.0,11.69,23.43,1.53,0.0,2.77,5.41,4.45,7.38,0.21,0.44,474
2.0,12.4,23.7,32.05,5.25,0.0,2.85,5.54,4.11,7.62,0.28,0.35,484
0.5,1.0,23.34,33.44,3.78,0.0,2.09,3.73,3.28,5.15,0.35,0.48,460
0.1,0.2,26.53,35.33,6.71,0.71,3.84,6.63,5.6,9.17,0.3,0.39,489
1.7,3.4,11.7,22.54,4.39,0.01,0.48,0.72,1.68,2.41,0.15,0.44,489
0.1,0.2,26.55,35.07,8.73,0.06,1.29,3.07,2.17,5.01,0.21,0.3,49
0.1,0.2,19.46,23.8,12.7,10.83,1.48,2.65,2.23,3.58,0.51,0.45,158
0.1,0.2,21.92,30.48,6.71,0.05,1.88,2.79,2.81,3.75,0.23,0.33,48
6.0,11.0,23.3,30.4,5.37,0.17,1.48,2.77,2.23,4.27,0.19,0.38,490
0.1,0.2,19.25,29.08,2.56,0.0,0.99,1.75,1.84,3.83,0.27,0.38,498
0.1,0.2,13.37,23.33,3.48,0.0,1.76,3.45,2.7,4.44,0.07,0.33,488
1.0,1.97,28.32,36.28,8.06,0.02,1.09,2.23,2.12,4.23,0.29,0.48,48
0.1,0.2,17.43,27.29,2.93,0.0,0.34,1.03,2.28,2.75,0.26,0.44,549
0.1,634.6,15.15,23.8,6.04,0.0,0.95,1.84,2.89,4.79,0.45,0.5,556
1.0,1.1,18.18,27.47,3.72,0.0,1.88,4.56,3.43,7.2,0.12,0.37,557
0.1,1.1,2.61,9.33,2.56,0.0,1.42,2.38,2.29,3.03,0.27,0.37,470
0.3,0.6,7.6,14.8,4.52,0.0,1.78,3.59,3.21,6.28,0.58,0.57,163
0.1,0.2,12.08,20.44,4.33,0.0,1.88,4.55,3.84,7.42,0.42,0.48,158
3500.0,6718.0,6.23,13.73,3.42,0.0,1.01,1.48,1.69,2.73,0.38,0.45,557
0.1,3.08,25.64,33.29,7.14,0.75,1.09,1.55,2.13,3.38,0.18,0.44,581
2.4,4.8,7.03,14.05,2.93,0.08,3.09,5.75,5.2,8.77,0.38,0.41,156
0.1,0.2,31.92,39.98,7.63,0.36,2.43,4.55,3.57,5.96,0.18,0.42,583
0.1,0.2,23.13,31.47,4.33,0.01,1.53,2.52,3.45,5.67,0.24,0.35,489
0.1,19.1,20.83,30.11,3.66,0.0,0.55,1.0,2.19,3.66,0.39,0.5,158
