DiscoveryAcres,total_acres,temp_2m,temp_2m_max,humidity,rain,wind_speed_2m,wind_speed_2m_max,wind_speed_10m,wind_speed_10m_max,surface_soil_wetness_5cm_below,surface_soil_wetness_to_bedrock,landcover_class
0.1,0.2,18.31,26.44,4.58,0.0,2.88,5.95,4.37,7.92,0.16,0.38,472
0.1,39.1,15.09,25.3,2.14,0.0,2.51,5.06,3.88,6.47,0.17,0.38,489
0.1,120.1,28.95,36.65,7.39,0.0,2.0,4.43,2.93,5.8,0.27,0.34,472
0.1,0.35,28.19,37.87,5.86,0.0,1.74,2.39,2.85,4.16,0.35,0.41,474
0.1,0.2,12.65,20.69,7.63,0.04,0.54,0.88,2.77,4.88,0.57,0.54,149
1.1,2.2,18.21,26.3,8.24,0.05,2.04,4.38,3.04,6.04,0.45,0.47,303
0.1,0.2,20.75,28.72,7.39,6.88,1.55,3.96,2.18,5.63,0.38,0.38,183
0.1,0.2,20.61,28.87,5.37,0.0,2.54,5.01,3.9,6.78,0.46,0.51,460
0.1,0.2,21.98,32.55,4.76,0.0,1.06,1.73,1.96,3.48,0.09,0.38,476
1.0,2.0,18.33,27.08,5.86,0.15,0.8,1.18,2.35,3.66,0.32,0.37,149
0.1,4.1,14.94,20.67,5.43,0.0,2.84,4.67,4.41,6.95,0.23,0.32,49
0.1,0.2,6.53,13.04,4.21,0.04,1.4,2.53,2.55,4.23,0.57,0.55,490
1.0,1.1,19.7,26.93,9.34,1.38,3.19,4.45,5.38,7.27,0.41,0.42,489
0.1,0.2,-1.19,3.91,1.1,0.0,1.29,2.96,2.12,4.16,0.27,0.31,48
0.1,158.0,19.32,27.3,2.75,0.0,3.22,5.3,5.19,7.88,0.23,0.32,47
1.0,2.8,18.74,26.63,5.68,0.11,0.35,1.05,2.12,2.93,0.49,0.52,557
0.1,0.2,32.61,40.48,4.15,0.0,1.83,2.44,2.68,3.59,0.07,0.37,472
0.1,0.2,8.5,17.73,3.72,0.44,3.41,5.21,4.9,6.8,0.27,0.42,557
0.1,0.2,22.62,31.08,3.3,0.0,1.39,2.74,2.98,6.23,0.15,0.45,151
0.1,0.2,25.12,34.62,7.63,0.0,1.72,3.06,3.0,4.62,0.58,0.62,489
0.1,0.2,31.44,41.63,5.55,0.0,3.02,6.84,4.23,8.62,0.16,0.37,582
0.1,0.2,9.55,17.85,2.99,0.0,1.59,2.83,2.73,4.07,0.46,0.47,162
0.1,0.2,22.98,31.4,2.14,0.0,2.67,5.01,3.85,6.48,0.1,0.33,489
0.1,0.2,21.1,28.64,6.71,0.15,1.93,3.7,3.09,5.4,0.33,0.45,489
1.0,33.7,10.08,19.39,3.78,0.1,0.88,1.79,3.12,5.98,0.34,0.38,557
0.1,0.35,16.17,22.46,4.46,0.0,6.7,8.54,9.42,11.87,0.15,0.34,470
100.0,481.3,25.21,33.55,6.35,0.88,1.7,4.25,2.82,6.96,0.27,0.37,187
0.5,1.0,23.83,32.65,3.6,0.0,2.09,4.09,3.24,5.58,0.23,0.34,582
0.1,0.2,11.54,19.64,5.62,0.0,0.96,1.45,2.47,4.01,0.62,0.6,474
15.0,69.86,12.23,24.91,2.5,0.0,0.66,1.23,1.97,2.81,0.21,0.46,491
0.1,0.2,15.48,23.94,5.31,0.0,0.63,0.93,3.59,5.6,0.48,0.55,158
1.5,3.0,22.29,30.65,3.85,0.0,4.03,7.91,5.83,10.69,0.3,0.37,484
1.0,2264.0,24.74,32.12,7.32,0.01,2.61,5.08,3.52,6.54,0.3,0.43,457
0.1,0.2,20.54,29.05,2.5,0.0,1.19,2.13,3.17,5.28,0.15,0.34,489
5.0,5.75,19.65,27.15,7.32,0.95,1.64,3.16,2.89,4.88,0.36,0.39,489
0.3,0.4499999999999999,18.98,28.01,3.72,0.0,0.52,0.86,2.07,4.39,0.39,0.48,183
0.1,0.2,16.64,26.73,7.57,1.84,2.8,3.98,3.99,5.64,0.38,0.39,315
0.1,0.2,22.47,30.57,5.19,0.14,1.25,2.51,3.03,5.91,0.27,0.35,316
0.1,0.2,27.86,34.81,6.96,0.12,2.28,6.1,3.41,8.55,0.27,0.48,582
0.1,3.9,16.8,26.27,3.6,0.0,4.52,8.02,6.69,10.97,0.3,0.41,557
9.0,17.990000000000002,19.91,29.15,5.92,0.07,0.36,0.54,2.05,3.11,0.34,0.45,550
0.1,0.2,21.34,27.92,9.46,3.25,0.45,0.84,1.58,2.45,0.41,0.49,158
0.1,0.2,21.48,30.17,5.31,0.14,0.5,0.94,1.84,3.48,0.21,0.46,278
0.1,0.2,22.87,30.83,9.46,1.98,0.62,1.0,2.43,4.27,0.45,0.48,358
0.3,0.6,14.02,20.31,3.85,0.18,4.83,7.4,6.56,10.23,0.1,0.34,496
0.1,1.1,32.57,42.08,6.04,0.06,0.95,1.82,1.63,2.88,0.2,0.48,460
1.0,4.0,29.09,38.27,3.3,0.0,2.25,4.74,3.3,6.14,0.12,0.35,582
0.1,0.2,27.35,35.71,5.13,0.0,3.55,5.66,4.88,7.15,0.08,0.37,470
2.5,5.0,12.54,21.59,6.77,6.83,4.28,8.95,7.18,14.38,0.43,0.4,158
0.1,0.2,21.51,29.9,5.55,0.09,1.84,4.59,3.0,7.7,0.25,0.34,155
0.1,0.2,23.93,31.76,5.68,0.0,1.54,3.0,2.26,3.67,0.3,0.4,556
0.1,0.2,28.55,36.37,5.49,0.38,3.09,5.13,4.55,7.18,0.15,0.38,489
0.1,0.2,23.05,31.35,8.36,0.25,1.12,2.64,1.98,4.66,0.29,0.34,156
0.5,0.81,24.7,33.91,9.58,1.52,2.2,5.09,3.08,7.2,0.23,0.34,488
1.0,2.7,24.16,30.3,5.68,0.25,5.33,8.44,7.78,11.88,0.2,0.45,497
0.6,1.2,27.85,36.01,8.79,2.85,3.09,7.05,4.51,10.1,0.29,0.35,187
1.0,1.4,21.02,27.81,5.74,0.2,6.69,10.92,9.34,15.05,0.23,0.41,158
0.1,0.2,35.4,44.71,4.7,0.0,3.21,4.95,4.44,6.2,0.07,0.37,556
2.0,20.0,26.16,35.69,5.74,0.04,1.34,2.68,3.37,6.41,0.2,0.34,187
24.8,49.55,21.62,29.44,6.23,0.0,3.31,5.02,4.7,6.73,0.24,0.34,158
0.1,0.2,25.12,33.13,7.63,0.72,2.47,4.84,3.66,6.56,0.25,0.37,187
0.1,0.2,15.55,24.56,3.36,0.0,0.72,1.19,2.83,4.27,0.27,0.47,158
0.3,0.55,23.83,31.65,8.42,0.01,2.17,4.29,3.46,5.76,0.45,0.5,557
1.0,1.1,24.19,32.35,3.42,0.02,2.2,4.38,4.59,8.09,0.22,0.43,187
5.0,44.6,20.48,31.16,3.6,0.0,1.59,2.47,2.98,4.75,0.13,0.41,358
0.1,0.2,10.58,17.08,3.42,0.04,4.7,8.07,6.39,10.39,0.3,0.38,485
0.1,0.2,31.39,38.8,4.33,0.0,2.44,4.7,3.45,6.17,0.15,0.46,474
5.0,32.0,12.61,21.28,3.97,0.0,0.62,0.99,3.29,5.18,0.46,0.53,158
0.1,1.1,17.79,26.02,5.13,0.0,0.83,1.34,3.28,5.71,0.43,0.53,158
0.1,0.2,21.23,30.78,5.07,0.0,1.08,1.91,3.19,4.69,0.21,0.34,557
0.1,0.2,22.8,31.9,5.8,1.0,1.61,3.79,2.52,5.65,0.34,0.38,495
0.1,10.6,25.49,33.83,6.77,0.83,2.84,4.72,4.95,7.8,0.28,0.37,187
0.1,0.2,5.77,14.26,2.32,0.0,2.77,4.98,5.18,8.66,0.37,0.39,183
40.0,143.2,20.66,30.66,4.64,0.0,2.04,2.89,3.25,3.91,0.39,0.42,557
0.1,0.2,26.86,35.8,4.21,0.0,2.19,5.05,3.23,6.93,0.34,0.48,474
1.0,1.1,22.86,30.75,8.54,0.28,2.57,5.18,4.46,7.96,0.38,0.45,158
0.1,1.1,23.33,32.16,9.22,2.5,0.87,1.76,1.7,3.19,0.36,0.4,141
0.1,1.5,33.15,40.95,3.23,0.0,1.3,1.73,1.93,2.71,0.07,0.38,472
0.1,0.2,22.55,31.83,8.97,0.0,0.44,0.84,1.72,2.96,0.3,0.35,175
0.1,0.2,27.23,36.57,2.75,0.0,1.09,2.15,1.73,3.07,0.08,0.37,476
2.0,6.04,23.05,31.27,4.94,0.0,0.57,1.13,2.2,4.18,0.27,0.47,316
0.1,0.35,5.9,11.78,3.11,0.63,2.05,4.07,3.05,6.2,0.23,0.47,460
1.0,3227.0,27.04,35.8,5.49,0.0,2.71,4.84,3.92,6.42,0.27,0.38,489
0.5,1.0,19.51,28.76,2.99,0.0,2.14,4.28,3.28,6.21,0.34,0.4,460
3.0,274.0,25.24,33.76,5.19,0.09,2.14,4.52,3.32,6.34,0.15,0.35,187
0.1,0.2,25.58,33.85,8.73,2.1,2.85,4.69,4.09,6.36,0.34,0.38,491
0.1,0.2,23.6,32.67,6.59,0.0,2.34,4.31,3.55,5.75,0.35,0.42,489
0.1,0.2,13.1,23.44,3.78,0.0,2.55,5.91,3.79,8.13,0.2,0.34,187
40.0,80.0,9.32,16.85,5.55,0.0,0.47,0.91,1.37,2.2,0.8,0.77,162
0.1,0.2,27.59,34.85,5.0,0.0,2.37,4.1,3.31,4.97,0.12,0.38,583
0.3,0.6,29.53,35.55,4.64,0.0,2.16,4.22,2.9,5.09,0.13,0.45,472
