ContainmentDateTime,ControlDateTime,DailyAcres,DiscoveryAcres,FireCause,FireDiscoveryDateTime,FireOutDateTime,IncidentTypeKind,InitialLatitude,InitialLongitude,POOState,id
2020/05/20 23:00:00+00,2020/05/20 23:00:00+00,0.25,0.3,Human,2020-05-20 21:26:00+00:00,2020/05/24 22:04:00+00,FI,33.43759,-111.5531,US-AZ,1298
2020/08/31 19:44:59+00,2020/09/02 17:29:59+00,0.5,1.0,Natural,2020-08-30 03:35:36+00:00,2020/09/02 17:29:59+00,FI,32.44803,-110.7783,US-AZ,1299
2020/09/23 20:19:00+00,2020/09/24 22:54:59+00,0.1,0.1,Human,2020-09-23 15:11:59+00:00,2020/09/30 16:30:00+00,FI,37.518,-112.5933,US-UT,1300
2021/03/12 00:00:00+00,2021/03/12 15:59:59+00,0.6,1.0,Human,2021-03-11 20:23:53+00:00,2021/03/15 00:59:59+00,FI,34.74081,-106.7271,US-NM,1301
2020/07/11 17:23:59+00,2020/07/16 23:15:00+00,99.0,7.0,Natural,2020-07-04 19:44:59+00:00,2020/07/18 00:59:59+00,FI,36.9885,-108.00865,US-NM,1302
2020/04/01 17:03:59+00,2020/04/01 17:50:00+00,1.0,1.0,Human,2020-04-01 17:03:59+00:00,2020/04/01 17:55:00+00,FI,40.495217,-109.519625,US-UT,1303
2020/07/23 00:59:59+00,2020/07/23 00:59:59+00,0.1,0.1,Natural,2020-07-23 00:01:59+00:00,2020/07/23 20:29:59+00,FI,38.38472,-112.6241,US-UT,1304
2020/05/16 21:45:00+00,2020/05/16 21:45:00+00,0.3,0.1,Human,2020-05-16 21:29:00+00:00,2020/05/19 14:00:00+00,FI,37.21137,-108.7336,US-CO,1305
2020/09/01 02:36:59+00,2020/09/01 17:55:00+00,0.1,0.1,Natural,2020-08-31 19:28:00+00:00,2020/12/21 18:59:59+00,FI,39.09428,-108.8413,US-CO,1306
2020/05/17 19:34:00+00,2020/05/17 19:34:59+00,0.1,0.1,Human,2020-05-17 19:33:00+00:00,2020/05/17 19:36:00+00,FI,34.40825,-110.9994,US-AZ,1307
2020/07/27 23:29:59+00,2020/07/27 23:29:59+00,0.1,0.1,Human,2020-07-27 23:06:00+00:00,2020/07/30 05:00:00+00,FI,36.40178,-114.8603,US-NV,1308
2021/03/07 22:21:00+00,2021/03/07 22:21:00+00,13.4,1.0,Human,2021-03-07 20:18:00+00:00,2021/03/09 23:34:00+00,FI,40.39314,-110.0468,US-UT,1309
2020/05/21 03:16:00+00,2020/05/21 03:16:00+00,0.1,0.1,Human,2020-05-21 02:44:00+00:00,2020/05/21 03:16:00+00,FI,33.37872,-110.4525,US-AZ,1310
2020/06/06 23:00:00+00,2020/06/06 23:29:59+00,0.1,0.1,Natural,2020-06-06 19:05:59+00:00,2020/06/06 23:29:59+00,FI,38.95709,-107.5308,US-CO,1311
2020/05/16 18:43:00+00,2020/05/16 18:43:59+00,0.1,0.1,Human,2020-05-16 18:42:00+00:00,2020/05/16 18:45:00+00,FI,34.38444,-110.9626,US-AZ,1312
2020/07/16 15:00:00+00,2020/07/16 15:00:00+00,0.1,0.1,Natural,2020-07-15 21:40:59+00:00,2020/07/16 15:00:00+00,FI,38.10294,-110.3503,US-UT,1313
2020/07/16 09:59:59+00,2020/07/16 11:00:00+00,0.1,0.1,Human,2020-07-16 09:00:00+00:00,2020/07/17 14:00:00+00,FI,40.64888,-111.2774,US-UT,1314
2020/09/01 18:14:59+00,2020/09/01 18:14:59+00,0.1,0.1,Human,2020-09-01 12:14:59+00:00,2020/09/05 05:00:00+00,FI,36.18259,-114.8719,US-NV,1315
2020/10/16 21:30:00+00,2020/10/17 19:30:00+00,1.6,0.1,Human,2020-10-16 17:45:59+00:00,2020/10/21 19:30:00+00,FI,38.61,-109.5346,US-UT,1316
2020/07/01 15:19:00+00,2020/07/02 00:59:59+00,4.0,1.0,Human,2020-07-01 12:24:00+00:00,2020/07/08 15:00:00+00,FI,35.26141,-111.6749,US-AZ,1317
2020/08/24 22:08:00+00,2020/08/27 20:13:00+00,0.1,0.1,Natural,2020-08-24 08:26:55+00:00,2020/08/27 20:13:00+00,FI,39.37494,-120.2156,US-CA,1318
2020/05/02 17:39:59+00,2020/05/04 21:24:59+00,1.0,1.0,Unknown,2020-05-02 14:19:59+00:00,2020/05/18 21:26:00+00,FI,39.80876,-123.0168,US-CA,1319
2020/08/26 22:20:00+00,2020/08/31 20:39:59+00,0.1,0.1,Natural,2020-08-26 21:30:15+00:00,2020/09/02 21:20:00+00,FI,35.28122,-111.4091,US-AZ,1320
2020/06/30 02:23:00+00,2020/06/30 02:23:00+00,11.9,0.1,Unknown,2020-06-29 18:34:56+00:00,2020/07/05 19:50:59+00,FI,40.976833,-121.214167,US-CA,1321
2020/07/24 00:37:59+00,2020/07/24 19:14:00+00,124.0,0.1,Human,2020-07-21 22:44:59+00:00,2020/07/31 21:06:00+00,FI,39.38822,-119.8257,US-NV,1322
2020/06/14 21:08:00+00,2020/06/14 21:08:59+00,0.1,0.1,Human,2020-06-14 20:58:59+00:00,2020/06/14 21:10:00+00,FI,33.93956,-109.4572,US-AZ,1323
2020/07/16 20:52:59+00,2020/07/16 21:03:00+00,0.1,0.1,Human,2020-07-16 19:49:00+00:00,2020/07/17 19:05:00+00,FI,39.43744,-120.0906,US-CA,1324
2020/08/21 03:59:59+00,2020/08/21 18:00:00+00,0.8,0.8,Natural,2020-08-21 00:59:59+00:00,2020/08/31 17:29:59+00,FI,36.980667,-107.211117,US-NM,1325
2020/04/27 23:58:00+00,2020/04/27 23:58:00+00,0.1,0.1,Human,2020-04-27 22:20:00+00:00,2020/04/30 00:59:59+00,FI,37.52805,-118.3671,US-CA,1326
2020/08/20 01:05:59+00,2020/08/20 01:06:59+00,0.25,0.1,Human,2020-08-19 23:18:00+00:00,2020/09/01 21:13:00+00,FI,35.02864,-114.1299,US-AZ,1327
2020/09/06 02:29:59+00,2020/09/06 17:00:00+00,0.1,1.0,Unknown,2020-09-06 01:09:00+00:00,2020/09/06 17:29:59+00,FI,35.00353,-112.3892,US-AZ,1328
2020/05/05 03:20:00+00,2020/05/05 21:45:00+00,0.1,0.1,Human,2020-05-05 00:24:59+00:00,2020/05/05 23:00:00+00,FI,33.39066,-105.6718,US-NM,1329
2020/08/16 19:28:59+00,2020/08/16 19:30:00+00,0.5,0.1,Natural,2020-08-16 00:20:53+00:00,2020/08/22 19:08:00+00,FI,41.92815,-120.5379,US-CA,1330
2020/05/31 23:34:00+00,2020/05/31 23:34:00+00,18.0,0.1,Unknown,2020-05-31 21:16:00+00:00,,FI,34.72101,-117.0823,US-CA,1331
2020/07/14 14:15:00+00,2020/07/15 23:29:59+00,62.0,20.0,Unknown,2020-07-12 18:19:00+00:00,2020/07/20 20:45:00+00,FI,38.06507,-108.013,US-CO,1332
2020/08/10 18:14:59+00,2020/08/10 18:14:59+00,0.1,0.1,Human,2020-08-10 12:36:59+00:00,2020/08/25 18:59:59+00,FI,35.84664,-114.5809,US-AZ,1333
2020/08/14 21:00:00+00,2020/08/15 00:11:59+00,0.5,0.5,Human,2020-08-14 08:00:00+00:00,2020/08/18 18:49:59+00,FI,42.27599,-111.7529,US-ID,1334
