sum_rain,sum_snow,DiscoveryAcres,total_acres,temp_2m,temp_2m_max,humidity,rain,wind_speed_2m,wind_speed_2m_max,wind_speed_10m,wind_speed_10m_max,surface_soil_wetness_5cm_below,surface_soil_wetness_to_bedrock,landcover_class
158.20000000000002,1.98,0.1,1.2000000000000002,22.26,33.87,5.55,0.0,0.73,1.15,1.91,2.85,0.35,0.44,141
131.82,0.0,1.2,2.4,25.31,35.08,4.09,0.0,1.86,3.17,3.23,5.43,0.3,0.39,158
100.18999999999998,0.66,1.0,12.5,27.69,35.33,5.55,0.0,2.82,4.8,4.09,6.24,0.16,0.48,491
158.20999999999998,6.6,0.1,1.4500000000000002,20.05,27.03,6.29,1.73,1.06,1.83,2.52,5.0,0.4,0.41,158
142.38,0.0,0.3,9.3,30.23,37.8,12.39,1.39,1.61,2.59,2.43,3.27,0.43,0.48,47
305.85,2.64,1.5,6.5,7.72,17.54,2.32,0.0,1.88,4.2,3.04,6.29,0.49,0.51,498
390.24,2.64,5.0,10.0,19.66,30.57,5.92,0.0,0.62,0.95,2.84,4.04,0.45,0.55,158
89.65,1.32,0.1,25.1,26.42,36.13,6.16,0.9,1.06,1.88,1.7,3.42,0.15,0.37,489
63.27999999999999,2.64,1.4,2.8,21.76,30.68,3.6,0.0,2.16,3.86,3.82,6.14,0.2,0.34,158
131.82999999999998,3.3000000000000003,1.0,122.0,13.05,22.91,4.21,0.01,0.42,1.03,2.84,3.53,0.34,0.36,489
147.66,0.0,1.0,16.0,25.28,35.21,4.64,0.0,1.73,3.22,2.7,4.76,0.13,0.45,301
290.04,0.0,1.5,5.3,18.95,27.91,2.62,0.0,1.79,3.36,2.6,4.42,0.39,0.49,444
110.74,0.0,1.0,17.0,32.57,39.9,7.75,0.01,1.76,3.95,2.45,4.98,0.21,0.38,358
126.56,0.66,5.0,54.0,16.28,26.49,3.05,0.0,2.05,3.63,3.09,4.8,0.32,0.37,183
152.93,0.66,0.1,2.1,20.34,29.63,3.6,0.0,2.05,3.85,3.53,6.09,0.36,0.51,158
110.73,1.32,1.3,2.55,21.76,27.91,8.54,0.89,1.12,1.99,2.48,4.12,0.16,0.34,556
232.03,0.0,0.1,350.1,23.4,29.31,5.62,0.0,4.58,7.28,6.7,10.14,0.31,0.49,460
131.83,1.98,0.1,471.1,24.94,33.93,8.61,0.77,1.21,3.23,2.36,6.13,0.25,0.45,489
195.12,0.0,0.1,69.3,24.93,34.73,3.85,0.0,1.66,3.28,2.41,4.34,0.34,0.4,460
163.48000000000002,0.0,0.1,3.1,31.01,40.17,8.0,0.64,0.83,1.39,2.07,3.73,0.25,0.48,358
268.94,0.0,0.3,6.5,24.45,33.05,5.92,0.0,2.64,4.51,3.95,5.9,0.44,0.48,474
116.01,0.0,1.0,2.7,30.01,37.3,7.02,0.0,5.05,7.4,6.71,9.59,0.07,0.37,472
200.39,0.0,20.0,129.0,22.48,31.06,4.03,0.0,2.33,4.09,3.58,5.85,0.37,0.42,472
15.82,0.66,0.1,764.1,27.99,37.04,10.01,0.02,1.71,3.95,2.38,5.34,0.14,0.33,489
84.36999999999999,0.0,1.0,4.0,30.76,39.9,5.98,0.0,1.57,2.67,2.41,3.64,0.27,0.47,460
179.29000000000002,0.0,1.0,22.2,24.69,31.67,6.59,0.0,3.0,4.66,4.19,6.01,0.2,0.44,358
147.64999999999998,0.0,0.1,185.1,28.72,39.47,3.36,0.0,2.16,3.98,3.3,5.66,0.11,0.37,302
