-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 06/18/2020 through 06/23/2020 
Location: Latitude  39.7686   Longitude -121.3908 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1355.6 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
GWETTOP      MERRA-2 Surface Soil Wetness (1) 
GWETPROF     MERRA-2 Profile Soil Moisture (1) 
-END HEADER-
YEAR,DOY,GWETTOP,GWETPROF
2020,170,0.52,0.55
2020,171,0.51,0.54
2020,172,0.51,0.54
2020,173,0.5,0.53
2020,174,0.5,0.53
2020,175,0.49,0.52
