PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,ID
PRECTOTCORR_SUM,2019,47.46,52.73,73.83,89.65,94.92,10.55,10.55,10.55,47.46,15.82,31.64,36.91,522.07,1589
PRECTOTCORR_SUM,2020,21.09,21.09,36.91,5.27,10.55,52.73,5.27,0.0,5.27,10.55,10.55,10.55,189.84,1589
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1594
PRECTOTCORR_SUM,2020,5.27,47.46,68.55,0.0,0.0,0.0,0.0,5.27,0.0,0.0,5.27,10.55,142.38,1594
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1596
PRECSNO,2021,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1596
PRECTOTCORR_SUM,2020,5.27,0.0,89.65,89.65,0.0,0.0,0.0,0.0,0.0,0.0,10.55,31.64,226.76,1596
PRECTOTCORR_SUM,2021,47.46,0.0,26.37,1.98,0.94,0.46,6.81,3.24,1.61,18.78,0.0,155.21,262.85,1596
PRECSNO,2020,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,1604
PRECTOTCORR_SUM,2020,10.55,21.09,10.55,5.27,15.82,42.19,5.27,0.0,5.27,5.27,5.27,10.55,137.11,1604
PRECSNO,2019,1.98,2.64,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,1.32,0.66,1605
PRECSNO,2020,2.64,1.32,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.66,0.66,1605
PRECTOTCORR_SUM,2019,42.19,47.46,47.46,79.1,84.38,5.27,0.0,5.27,73.83,15.82,31.64,36.91,469.34,1605
PRECTOTCORR_SUM,2020,31.64,21.09,47.46,15.82,21.09,79.1,5.27,0.0,5.27,10.55,21.09,10.55,268.95,1605
PRECSNO,2020,1.98,0.0,1.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.66,1613
PRECTOTCORR_SUM,2020,84.38,0.0,105.47,47.46,73.83,0.0,0.0,0.0,0.0,0.0,52.73,94.92,458.79,1613
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1620
PRECTOTCORR_SUM,2020,5.27,52.73,84.38,5.27,0.0,0.0,10.55,10.55,5.27,5.27,5.27,10.55,195.12,1620
PRECSNO,2020,1.98,1.32,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.66,0.66,1631
PRECTOTCORR_SUM,2020,52.73,31.64,52.73,47.46,42.19,105.47,15.82,0.0,15.82,10.55,31.64,15.82,421.88,1631
PRECSNO,2020,0.66,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,1636
PRECTOTCORR_SUM,2020,10.55,0.0,42.19,10.55,0.0,5.27,0.0,5.27,0.0,0.0,15.82,26.37,116.02,1636
PRECSNO,2019,0.66,1.32,1.32,0.66,1.32,0.0,0.0,0.0,0.0,1.32,0.66,0.66,0.66,1655
PRECSNO,2020,0.66,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.66,1.32,0.66,1655
PRECTOTCORR_SUM,2019,21.09,21.09,36.91,21.09,52.73,26.37,47.46,26.37,21.09,31.64,26.37,15.82,348.05,1655
PRECTOTCORR_SUM,2020,0.0,26.37,15.82,10.55,21.09,21.09,42.19,15.82,15.82,10.55,21.09,5.27,205.66,1655
PRECSNO,2020,0.66,0.66,2.64,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.66,1.32,0.66,1670
PRECTOTCORR_SUM,2020,0.0,15.82,52.73,21.09,0.0,0.0,5.27,5.27,0.0,0.0,5.27,5.27,110.74,1670
PRECSNO,2020,1.98,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,1672
PRECTOTCORR_SUM,2020,300.59,10.55,58.01,42.19,131.84,10.55,0.0,0.0,10.55,15.82,131.84,189.84,901.76,1672
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1674
PRECTOTCORR_SUM,2020,0.0,21.09,73.83,15.82,0.0,0.0,0.0,0.0,0.0,0.0,5.27,0.0,116.02,1674
PRECSNO,2020,1.32,0.66,1.98,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.66,1677
PRECTOTCORR_SUM,2020,15.82,21.09,36.91,10.55,10.55,42.19,0.0,0.0,0.0,5.27,15.82,21.09,179.3,1677
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1682
PRECSNO,2021,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,1682
PRECTOTCORR_SUM,2020,5.27,47.46,68.55,0.0,0.0,0.0,0.0,5.27,0.0,0.0,5.27,10.55,142.38,1682
PRECTOTCORR_SUM,2021,42.19,0.0,5.27,3.6,0.8,2.23,114.67,81.67,38.36,11.6,0.35,72.46,373.2,1682
PRECSNO,2019,0.66,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1686
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1686
PRECTOTCORR_SUM,2019,26.37,126.56,36.91,5.27,10.55,0.0,21.09,15.82,42.19,0.0,105.47,58.01,448.24,1686
PRECTOTCORR_SUM,2020,10.55,52.73,58.01,5.27,0.0,0.0,15.82,5.27,0.0,5.27,5.27,10.55,168.75,1686
PRECSNO,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,1692
PRECSNO,2020,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,1692
PRECTOTCORR_SUM,2019,0.0,5.27,10.55,15.82,10.55,10.55,21.09,31.64,31.64,36.91,52.73,5.27,232.03,1692
PRECTOTCORR_SUM,2020,21.09,21.09,36.91,0.0,0.0,10.55,26.37,15.82,26.37,10.55,5.27,5.27,179.3,1692
PRECSNO,2020,3.3,1.98,0.66,0.66,0.66,0.0,0.0,0.0,0.0,0.0,1.32,0.66,0.66,1699
PRECTOTCORR_SUM,2020,94.92,58.01,68.55,68.55,58.01,110.74,10.55,0.0,15.82,21.09,52.73,21.09,580.08,1699
PRECSNO,2019,2.64,2.64,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,1.32,0.66,1713
PRECSNO,2020,1.98,1.98,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.66,0.66,1713
PRECTOTCORR_SUM,2019,63.28,58.01,63.28,79.1,94.92,15.82,10.55,15.82,47.46,10.55,42.19,47.46,548.44,1713
PRECTOTCORR_SUM,2020,31.64,26.37,47.46,15.82,5.27,58.01,0.0,0.0,0.0,10.55,21.09,15.82,232.03,1713
PRECSNO,2019,1.32,1.32,0.66,0.66,0.66,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.66,1720
PRECSNO,2020,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,1.32,1.32,0.0,0.66,0.66,1720
PRECTOTCORR_SUM,2019,15.82,21.09,31.64,26.37,26.37,26.37,47.46,26.37,21.09,5.27,36.91,26.37,311.13,1720
PRECTOTCORR_SUM,2020,21.09,10.55,21.09,5.27,5.27,5.27,42.19,5.27,31.64,10.55,10.55,21.09,189.84,1720
PRECSNO,2020,0.0,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,1729
PRECTOTCORR_SUM,2020,26.37,36.91,36.91,0.0,0.0,0.0,68.55,0.0,5.27,10.55,15.82,10.55,210.94,1729
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1736
PRECTOTCORR_SUM,2020,10.55,52.73,58.01,5.27,0.0,0.0,15.82,5.27,0.0,5.27,5.27,10.55,168.75,1736
PRECSNO,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,1739
PRECSNO,2020,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,1739
PRECTOTCORR_SUM,2019,0.0,5.27,10.55,15.82,10.55,10.55,21.09,31.64,31.64,36.91,52.73,5.27,232.03,1739
PRECTOTCORR_SUM,2020,21.09,21.09,36.91,0.0,0.0,10.55,26.37,15.82,26.37,10.55,5.27,5.27,179.3,1739
PRECSNO,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,1740
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,1740
PRECTOTCORR_SUM,2019,21.09,5.27,10.55,21.09,15.82,10.55,15.82,15.82,15.82,10.55,100.2,10.55,253.12,1740
PRECTOTCORR_SUM,2020,15.82,15.82,21.09,10.55,0.0,10.55,52.73,0.0,15.82,10.55,10.55,10.55,174.02,1740
PRECSNO,2019,0.66,1.98,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.66,1750
PRECSNO,2020,0.66,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,1750
PRECTOTCORR_SUM,2019,26.37,63.28,68.55,42.19,84.38,0.0,5.27,5.27,26.37,5.27,21.09,36.91,384.96,1750
PRECTOTCORR_SUM,2020,15.82,5.27,5.27,5.27,26.37,5.27,0.0,0.0,5.27,0.0,21.09,15.82,105.47,1750
PRECSNO,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1751
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1751
PRECTOTCORR_SUM,2019,31.64,105.47,21.09,0.0,0.0,0.0,15.82,5.27,42.19,0.0,79.1,52.73,353.32,1751
PRECTOTCORR_SUM,2020,5.27,47.46,63.28,0.0,0.0,0.0,0.0,10.55,0.0,0.0,0.0,10.55,137.11,1751
PRECSNO,2020,0.0,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,1775
PRECTOTCORR_SUM,2020,5.27,5.27,10.55,15.82,0.0,5.27,0.0,0.0,0.0,0.0,15.82,10.55,68.55,1775
PRECSNO,2020,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,1777
PRECTOTCORR_SUM,2020,10.55,10.55,21.09,0.0,5.27,5.27,47.46,0.0,21.09,5.27,21.09,10.55,158.2,1777
PRECSNO,2019,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1779
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1779
PRECTOTCORR_SUM,2019,31.64,126.56,26.37,5.27,10.55,0.0,21.09,10.55,58.01,0.0,105.47,58.01,453.52,1779
PRECTOTCORR_SUM,2020,5.27,52.73,89.65,5.27,0.0,0.0,5.27,10.55,0.0,0.0,5.27,10.55,184.57,1779
PRECSNO,2020,0.66,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.66,0.0,1780
PRECTOTCORR_SUM,2020,10.55,10.55,26.37,10.55,5.27,15.82,5.27,0.0,21.09,10.55,15.82,15.82,147.66,1780
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789
PRECSNO,2021,0.68,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.07,1789
PRECTOTCORR_SUM,2020,10.55,52.73,58.01,5.27,0.0,0.0,15.82,5.27,0.0,5.27,5.27,10.55,168.75,1789
PRECTOTCORR_SUM,2021,36.91,5.27,21.09,7.67,1.39,3.97,131.03,89.15,51.05,15.71,1.43,77.17,441.85,1789
PRECSNO,2019,0.66,3.96,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.98,0.66,0.66,1792
PRECSNO,2020,0.0,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,1792
PRECTOTCORR_SUM,2019,36.91,163.48,52.73,5.27,15.82,0.0,31.64,5.27,52.73,0.0,126.56,79.1,569.53,1792
PRECTOTCORR_SUM,2020,5.27,42.19,89.65,10.55,5.27,0.0,15.82,10.55,5.27,5.27,15.82,5.27,210.94,1792
PRECSNO,2020,0.66,0.0,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1804
PRECTOTCORR_SUM,2020,0.0,10.55,52.73,26.37,5.27,0.0,5.27,5.27,0.0,0.0,10.55,0.0,116.02,1804
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1807
PRECTOTCORR_SUM,2020,5.27,52.73,89.65,5.27,0.0,0.0,5.27,10.55,0.0,0.0,5.27,10.55,184.57,1807
PRECSNO,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1808
PRECTOTCORR_SUM,2019,21.09,79.1,26.37,5.27,5.27,0.0,31.64,26.37,52.73,0.0,89.65,36.91,374.41,1808
PRECTOTCORR_SUM,2020,10.55,26.37,36.91,0.0,0.0,0.0,15.82,10.55,0.0,0.0,5.27,10.55,116.02,1808
PRECSNO,2019,0.66,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1815
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1815
PRECTOTCORR_SUM,2019,26.37,126.56,36.91,5.27,10.55,0.0,21.09,15.82,42.19,0.0,105.47,58.01,448.24,1815
PRECTOTCORR_SUM,2020,10.55,52.73,58.01,5.27,0.0,0.0,15.82,5.27,0.0,5.27,5.27,10.55,168.75,1815
PRECSNO,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,1818
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1818
PRECTOTCORR_SUM,2019,0.0,0.0,10.55,10.55,0.0,21.09,10.55,26.37,26.37,10.55,73.83,5.27,195.12,1818
PRECTOTCORR_SUM,2020,0.0,21.09,31.64,0.0,0.0,5.27,42.19,0.0,15.82,5.27,0.0,10.55,131.84,1818
PRECSNO,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1822
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1822
PRECTOTCORR_SUM,2019,179.3,163.48,79.1,5.27,36.91,0.0,0.0,0.0,0.0,0.0,52.73,105.47,622.27,1822
PRECTOTCORR_SUM,2020,10.55,0.0,105.47,79.1,0.0,0.0,0.0,0.0,0.0,0.0,5.27,36.91,237.3,1822
PRECSNO,2019,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1829
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1829
PRECTOTCORR_SUM,2019,42.19,68.55,21.09,0.0,42.19,0.0,10.55,10.55,10.55,0.0,89.65,36.91,332.23,1829
PRECTOTCORR_SUM,2020,0.0,10.55,47.46,26.37,5.27,0.0,5.27,5.27,0.0,0.0,15.82,0.0,116.02,1829
PRECSNO,2020,0.66,0.0,1.32,1.32,0.66,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.66,1831
PRECTOTCORR_SUM,2020,10.55,0.0,31.64,42.19,10.55,21.09,0.0,10.55,0.0,0.0,21.09,26.37,174.02,1831
PRECSNO,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1839
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1839
PRECTOTCORR_SUM,2019,21.09,58.01,5.27,0.0,5.27,0.0,5.27,0.0,5.27,0.0,21.09,42.19,163.48,1839
PRECTOTCORR_SUM,2020,0.0,0.0,42.19,31.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.83,1839
PRECSNO,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1840
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1840
PRECTOTCORR_SUM,2019,21.09,68.55,15.82,0.0,0.0,0.0,15.82,15.82,26.37,0.0,73.83,42.19,279.49,1840
PRECTOTCORR_SUM,2020,5.27,26.37,42.19,0.0,0.0,0.0,0.0,10.55,0.0,0.0,5.27,10.55,100.2,1840
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1843
PRECTOTCORR_SUM,2020,5.27,52.73,89.65,5.27,0.0,0.0,5.27,10.55,0.0,0.0,5.27,10.55,184.57,1843
PRECSNO,2019,0.66,1.98,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.66,1850
PRECSNO,2020,0.66,0.0,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,1850
PRECTOTCORR_SUM,2019,63.28,110.74,42.19,21.09,47.46,0.0,5.27,0.0,36.91,0.0,5.27,42.19,374.41,1850
PRECTOTCORR_SUM,2020,10.55,0.0,42.19,10.55,0.0,5.27,0.0,5.27,0.0,0.0,15.82,26.37,116.02,1850
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1858
PRECTOTCORR_SUM,2020,0.0,21.09,58.01,15.82,0.0,0.0,0.0,5.27,0.0,0.0,5.27,0.0,105.47,1858
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1864
PRECTOTCORR_SUM,2020,0.0,15.82,58.01,15.82,0.0,0.0,0.0,5.27,0.0,0.0,5.27,0.0,100.2,1864
PRECSNO,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1868
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1868
PRECTOTCORR_SUM,2019,21.09,73.83,10.55,0.0,5.27,0.0,15.82,31.64,36.91,0.0,63.28,47.46,305.86,1868
PRECTOTCORR_SUM,2020,5.27,15.82,26.37,0.0,0.0,0.0,5.27,10.55,0.0,0.0,5.27,10.55,79.1,1868
PRECSNO,2020,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,1871
PRECTOTCORR_SUM,2020,21.09,21.09,36.91,10.55,5.27,31.64,0.0,0.0,5.27,10.55,15.82,31.64,189.84,1871
PRECSNO,2020,0.66,0.66,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,1875
PRECTOTCORR_SUM,2020,15.82,10.55,10.55,10.55,0.0,5.27,36.91,0.0,10.55,15.82,5.27,5.27,126.56,1875
PRECSNO,2020,1.98,1.98,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.66,0.66,1.32,0.66,1878
PRECTOTCORR_SUM,2020,94.92,68.55,42.19,52.73,21.09,15.82,5.27,5.27,10.55,26.37,31.64,31.64,406.05,1878
PRECSNO,2020,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,1903
PRECTOTCORR_SUM,2020,0.0,10.55,47.46,10.55,0.0,0.0,10.55,0.0,0.0,0.0,5.27,0.0,84.38,1903
PRECSNO,2019,0.66,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,1912
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.66,0.0,1912
PRECTOTCORR_SUM,2019,10.55,10.55,26.37,10.55,15.82,0.0,26.37,42.19,42.19,5.27,84.38,5.27,279.49,1912
PRECTOTCORR_SUM,2020,10.55,31.64,21.09,0.0,0.0,10.55,84.38,5.27,10.55,5.27,5.27,10.55,195.12,1912
PRECSNO,2020,0.66,1.32,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,1914
PRECTOTCORR_SUM,2020,0.0,15.82,15.82,15.82,0.0,15.82,0.0,0.0,0.0,0.0,5.27,15.82,84.38,1914
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1929
PRECTOTCORR_SUM,2020,5.27,47.46,68.55,0.0,0.0,0.0,0.0,5.27,0.0,0.0,5.27,10.55,142.38,1929
PRECSNO,2020,0.66,0.66,0.66,0.0,0.0,0.0,0.0,0.0,1.32,0.66,0.66,1.32,0.66,1932
PRECTOTCORR_SUM,2020,21.09,10.55,21.09,0.0,5.27,5.27,42.19,0.0,36.91,15.82,31.64,42.19,232.03,1932
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1933
PRECTOTCORR_SUM,2020,10.55,42.19,42.19,0.0,0.0,0.0,15.82,5.27,0.0,0.0,5.27,10.55,131.84,1933
PRECSNO,2020,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,1937
PRECTOTCORR_SUM,2020,21.09,21.09,36.91,5.27,10.55,52.73,5.27,0.0,5.27,10.55,10.55,10.55,189.84,1937
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945
PRECTOTCORR_SUM,2020,10.55,52.73,58.01,5.27,0.0,0.0,15.82,5.27,0.0,5.27,5.27,10.55,168.75,1945
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1948
PRECTOTCORR_SUM,2020,0.0,0.0,68.55,79.1,0.0,0.0,0.0,0.0,0.0,0.0,5.27,15.82,168.75,1948
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,1952
PRECTOTCORR_SUM,2020,47.46,15.82,21.09,5.27,21.09,21.09,5.27,0.0,0.0,0.0,10.55,15.82,163.48,1952
PRECSNO,2020,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1954
PRECTOTCORR_SUM,2020,10.55,10.55,26.37,0.0,0.0,10.55,5.27,0.0,5.27,0.0,5.27,0.0,73.83,1954
PRECSNO,2019,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1972
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1972
PRECTOTCORR_SUM,2019,26.37,47.46,31.64,5.27,5.27,0.0,36.91,47.46,63.28,0.0,116.02,36.91,416.6,1972
PRECTOTCORR_SUM,2020,15.82,26.37,47.46,0.0,0.0,0.0,42.19,31.64,5.27,0.0,0.0,10.55,179.3,1972
PRECSNO,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983
PRECTOTCORR_SUM,2019,31.64,105.47,21.09,0.0,0.0,0.0,15.82,5.27,42.19,0.0,79.1,52.73,353.32,1983
PRECTOTCORR_SUM,2020,5.27,47.46,63.28,0.0,0.0,0.0,0.0,10.55,0.0,0.0,0.0,10.55,137.11,1983
PRECSNO,2020,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,1986
PRECTOTCORR_SUM,2020,21.09,21.09,36.91,10.55,5.27,31.64,0.0,0.0,5.27,10.55,15.82,31.64,189.84,1986
PRECSNO,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,1988
PRECSNO,2020,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,1988
PRECTOTCORR_SUM,2019,0.0,5.27,10.55,15.82,10.55,10.55,21.09,31.64,31.64,36.91,52.73,5.27,232.03,1988
PRECTOTCORR_SUM,2020,21.09,21.09,36.91,0.0,0.0,10.55,26.37,15.82,26.37,10.55,5.27,5.27,179.3,1988
PRECSNO,2020,0.66,0.66,0.0,0.66,0.0,0.0,0.0,0.0,0.66,0.66,0.0,0.0,0.0,2002
PRECTOTCORR_SUM,2020,10.55,15.82,10.55,10.55,0.0,10.55,31.64,0.0,21.09,10.55,0.0,5.27,126.56,2002
PRECSNO,2020,0.66,0.66,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,2004
PRECTOTCORR_SUM,2020,15.82,10.55,10.55,10.55,0.0,5.27,36.91,0.0,10.55,15.82,5.27,5.27,126.56,2004
PRECSNO,2019,0.66,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,2008
PRECSNO,2020,0.0,0.66,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.66,0.0,2008
PRECTOTCORR_SUM,2019,21.09,26.37,36.91,10.55,42.19,5.27,5.27,0.0,0.0,0.0,26.37,26.37,200.39,2008
PRECTOTCORR_SUM,2020,0.0,5.27,26.37,0.0,0.0,15.82,5.27,0.0,0.0,5.27,5.27,15.82,79.1,2008
PRECSNO,2020,0.66,0.66,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66,0.0,2011
PRECTOTCORR_SUM,2020,21.09,21.09,31.64,10.55,10.55,42.19,5.27,0.0,0.0,5.27,15.82,21.09,184.57,2011
PRECSNO,2019,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
PRECSNO,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
PRECTOTCORR_SUM,2019,26.37,89.65,21.09,5.27,0.0,0.0,31.64,21.09,42.19,0.0,89.65,52.73,379.69,2012
PRECTOTCORR_SUM,2020,10.55,42.19,42.19,0.0,0.0,0.0,15.82,5.27,0.0,0.0,5.27,10.55,131.84,2012
PRECSNO,2020,2.64,0.0,3.96,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.66,1.98,0.66,2019
PRECTOTCORR_SUM,2020,58.01,0.0,147.66,79.1,52.73,0.0,0.0,0.0,0.0,0.0,79.1,73.83,490.43,2019
PRECSNO,2020,1.32,1.32,1.32,1.32,0.0,0.0,0.0,0.0,0.0,0.66,1.32,1.32,0.66,2020
